ID da Fatura,Filial,Cidade,Tipo de Cliente,Gênero,Linha de Produto,Preço Unitário,Quantidade,Imposto 5%,Total,Data,Hora,Pagamento,COGS,Margem Bruta %,Renda Bruta,Avaliação
217449886,B,Moraes do Oeste,Normal,Masculino,Eletrônicos,13.38,1,0.669,14.049,2024-01-22,21:51,Ewallet,11.24,4.793505,0.6734,4.2
873416304,C,Pereira,Normal,Feminino,Esportes e viagens,67.34,1,3.367,70.707,2024-02-09,18:01,Ewallet,56.57,4.507974,3.1875,5.4
468252361,B,Moraes da Mata,Normal,Feminino,Eletrônicos,93.45,5,23.3625,490.6125,2024-01-22,01:34,Ewallet,392.49,4.800799,23.5533,7.6
726624488,A,Rezende de Silveira,Normal,Feminino,Esportes e viagens,16.17,4,3.234,67.914,2024-02-04,13:56,Ewallet,54.33,7.156117,4.86,4.9
603669651,C,Correia do Oeste,Normal,Masculino,Eletrônicos,27.65,6,8.295,174.195,2024-01-01,10:27,Ewallet,139.36,5.550146,9.6681,6.2
35446754,C,Cunha da Mata,Normal,Masculino,Eletrônicos,55.66,2,5.566,116.886,2024-01-26,06:08,Cartão de crédito,93.51,3.879684,4.5348,7.6
796457278,B,Aragão de Nogueira,Membro,Masculino,Casa e estilo de vida,84.19,8,33.676,707.196,2024-02-08,07:19,Ewallet,565.76,4.106818,29.0433,5.6
783703427,C,Campos,Normal,Feminino,Saúde e beleza,54.08,4,10.816,227.136,2024-01-17,20:16,Dinheiro,181.71,5.362934,12.1812,5.5
339096866,C,Gomes do Campo,Normal,Feminino,Casa e estilo de vida,12.36,6,3.708,77.868,2024-01-13,14:24,Dinheiro,62.29,7.569829,5.8945,8.8
457445073,A,Nunes,Membro,Masculino,Saúde e beleza,67.66,6,20.298,426.258,2024-01-14,08:47,Cartão de crédito,341.01,7.32811,31.2367,4.1
228884314,B,Almeida,Membro,Feminino,Eletrônicos,18.29,10,9.145,192.045,2024-02-09,12:38,Dinheiro,153.64,4.68057,8.9888,7.6
228060490,A,Freitas,Membro,Masculino,Esportes e viagens,95.14,8,38.056,799.176,2024-01-25,20:31,Ewallet,639.34,3.592905,28.7136,7.9
940636104,C,Duarte,Normal,Masculino,Alimentos e bebidas,75.94,9,34.173,717.633,2024-01-10,11:33,Dinheiro,574.11,6.549977,47.0048,5.2
596847821,B,Gomes da Prata,Membro,Feminino,Casa e estilo de vida,77.74,5,19.435,408.135,2024-01-19,21:51,Dinheiro,326.51,6.49488,26.5079,8.2
397184731,C,Farias da Mata,Normal,Masculino,Eletrônicos,67.7,7,23.695,497.595,2024-02-04,00:50,Ewallet,398.08,5.683273,28.2797,5.3
247428171,A,da Mota do Oeste,Normal,Masculino,Casa e estilo de vida,96.68,9,43.506,913.626,2024-01-07,09:57,Dinheiro,730.9,5.03071,45.9619,5.1
679801270,B,Pires da Mata,Normal,Feminino,Esportes e viagens,64.06,4,12.812,269.052,2024-02-09,06:16,Dinheiro,215.24,4.872342,13.1091,7.0
53432435,B,Sales da Prata,Membro,Feminino,Eletrônicos,11.27,10,5.635,118.335,2024-01-30,09:06,Ewallet,94.67,6.580857,7.7875,7.5
318261265,B,Rezende da Praia,Membro,Masculino,Esportes e viagens,11.31,9,5.0895,106.8795,2024-01-04,12:14,Dinheiro,85.5,5.557838,5.9402,7.4
679781271,C,Teixeira da Praia,Membro,Feminino,Casa e estilo de vida,15.58,4,3.116,65.436,2024-01-28,17:15,Cartão de crédito,52.35,7.887762,5.1614,8.9
303150335,B,Pereira,Membro,Feminino,Casa e estilo de vida,14.52,1,0.726,15.246,2024-01-04,17:55,Cartão de crédito,12.2,3.745853,0.5711,8.0
221965389,A,Melo de Goiás,Normal,Feminino,Esportes e viagens,48.85,9,21.9825,461.6325,2024-01-09,19:50,Ewallet,369.31,6.91929,31.9417,8.2
213119820,B,Caldeira,Normal,Feminino,Esportes e viagens,61.52,5,15.38,322.98,2024-01-30,00:44,Ewallet,258.38,7.207894,23.2801,7.0
285153563,C,Correia,Normal,Feminino,Saúde e beleza,72.23,9,32.5035,682.5735,2024-01-11,00:34,Cartão de crédito,546.06,3.13509,21.3993,8.4
303144981,C,da Luz Verde,Normal,Feminino,Esportes e viagens,41.48,7,14.518,304.878,2024-01-26,15:10,Dinheiro,243.9,3.387736,10.3285,5.3
626710125,B,Oliveira do Campo,Normal,Masculino,Alimentos e bebidas,72.1,7,25.235,529.935,2024-01-10,00:47,Cartão de crédito,423.95,5.775426,30.606,5.6
353068516,B,Dias de Dias,Membro,Masculino,Alimentos e bebidas,93.07,7,32.5745,684.0645,2024-02-05,19:30,Ewallet,547.25,4.998329,34.1918,6.2
758060970,A,Pires,Normal,Feminino,Eletrônicos,39.88,1,1.994,41.874,2024-01-18,02:32,Ewallet,33.5,4.977681,2.0844,5.8
192456370,B,Farias dos Dourados,Membro,Feminino,Eletrônicos,50.5,1,2.525,53.025,2024-02-04,11:28,Ewallet,42.42,3.129072,1.6592,4.7
314102788,C,Aragão,Normal,Masculino,Esportes e viagens,44.59,9,20.0655,421.3755,2024-01-14,17:31,Cartão de crédito,337.1,5.458621,23.0013,8.1
284670748,A,Melo,Normal,Masculino,Eletrônicos,50.78,7,17.773,373.233,2024-01-02,20:02,Ewallet,298.59,4.07004,15.1907,8.7
249381770,C,Silva,Normal,Feminino,Casa e estilo de vida,44.15,10,22.075,463.575,2024-01-27,16:00,Cartão de crédito,370.86,4.105757,19.0333,6.4
215121875,B,Carvalho,Normal,Feminino,Casa e estilo de vida,46.74,3,7.011,147.231,2024-02-09,14:13,Cartão de crédito,117.78,4.850838,7.1419,5.0
214988715,C,Campos,Normal,Masculino,Eletrônicos,17.28,2,1.728,36.288,2024-01-24,04:56,Dinheiro,29.03,7.62485,2.7669,8.9
153550318,B,Rodrigues do Galho,Normal,Feminino,Saúde e beleza,26.43,6,7.929,166.509,2024-01-09,13:15,Dinheiro,133.21,4.283666,7.1327,8.6
122664195,A,Costa,Membro,Masculino,Casa e estilo de vida,20.25,7,7.0875,148.8375,2024-02-05,15:36,Ewallet,119.07,4.462415,6.6417,5.3
273114931,B,da Cunha,Normal,Masculino,Alimentos e bebidas,85.1,6,25.53,536.13,2024-01-20,06:23,Cartão de crédito,428.9,4.989114,26.7481,5.3
57408254,C,Cunha das Pedras,Membro,Feminino,Saúde e beleza,15.38,1,0.769,16.149,2024-01-03,02:35,Dinheiro,12.92,6.096464,0.9845,8.4
530748863,B,Melo,Membro,Masculino,Eletrônicos,42.37,2,4.237,88.977,2024-01-25,22:55,Dinheiro,71.18,5.088857,4.5279,7.6
479636984,C,Lima,Membro,Feminino,Alimentos e bebidas,98.14,10,49.07,1030.47,2024-01-03,16:17,Ewallet,824.38,6.747237,69.5283,7.7
206627805,C,da Rosa,Membro,Masculino,Saúde e beleza,55.71,6,16.713,350.973,2024-02-07,11:02,Cartão de crédito,280.78,3.357492,11.7839,7.4
185987984,C,Lima,Normal,Feminino,Esportes e viagens,51.17,6,15.351,322.371,2024-01-23,09:59,Ewallet,257.9,5.328836,17.1786,5.6
590200064,C,Nunes,Normal,Feminino,Esportes e viagens,54.92,3,8.238,172.998,2024-02-08,10:11,Cartão de crédito,138.4,7.921352,13.7038,6.8
421244093,B,Dias da Praia,Normal,Feminino,Eletrônicos,35.68,5,8.92,187.32,2024-02-05,03:18,Cartão de crédito,149.86,5.948126,11.142,5.2
441132011,B,Jesus de Jesus,Membro,Masculino,Eletrônicos,72.27,3,10.8405,227.6505,2024-01-22,01:46,Cartão de crédito,182.12,3.613245,8.2256,4.8
787188346,C,Vieira do Campo,Membro,Feminino,Esportes e viagens,85.0,6,25.5,535.5,2024-01-01,04:23,Dinheiro,428.4,3.625581,19.415,7.3
468249542,B,da Cunha,Membro,Masculino,Esportes e viagens,19.57,8,7.828,164.388,2024-01-10,14:10,Dinheiro,131.51,3.295478,5.4174,8.4
642747003,C,Nunes do Oeste,Normal,Feminino,Alimentos e bebidas,21.88,7,7.658,160.818,2024-02-02,20:39,Cartão de crédito,128.65,7.489036,12.0437,6.7
637511793,B,Fogaça de da Mota,Membro,Masculino,Saúde e beleza,73.77,7,25.8195,542.2095,2024-01-26,02:32,Dinheiro,433.77,5.790306,31.3956,5.5
977205537,C,Sales,Normal,Feminino,Alimentos e bebidas,87.52,7,30.632,643.272,2024-01-04,19:57,Cartão de crédito,514.62,7.525045,48.4065,8.9
39396096,A,Monteiro,Normal,Feminino,Eletrônicos,95.93,9,43.1685,906.5385,2024-01-01,23:26,Cartão de crédito,725.23,3.07274,27.8556,6.7
526999967,B,Ferreira Alegre,Normal,Feminino,Eletrônicos,91.33,6,27.399,575.379,2024-01-11,22:27,Ewallet,460.3,7.777862,44.7522,4.0
319485819,B,Dias da Mata,Normal,Feminino,Esportes e viagens,58.65,3,8.7975,184.7475,2024-01-10,12:17,Ewallet,147.8,7.423529,13.7148,8.7
668769029,C,Barros de Peixoto,Normal,Masculino,Casa e estilo de vida,97.35,4,19.47,408.87,2024-01-14,14:57,Dinheiro,327.1,4.276606,17.4858,7.8
309989018,B,da Paz Grande,Normal,Feminino,Eletrônicos,33.33,4,6.666,139.986,2024-01-04,14:07,Cartão de crédito,111.99,7.946265,11.1237,6.9
355441717,B,Barbosa,Normal,Masculino,Casa e estilo de vida,93.51,5,23.3775,490.9275,2024-01-10,10:44,Dinheiro,392.74,3.279968,16.1023,7.4
671323306,C,Dias Paulista,Normal,Masculino,Casa e estilo de vida,93.63,5,23.4075,491.5575,2024-01-26,11:39,Cartão de crédito,393.25,3.147563,15.4721,6.9
227027891,C,Cavalcanti,Normal,Masculino,Casa e estilo de vida,86.44,8,34.576,726.096,2024-01-26,00:19,Dinheiro,580.88,6.185656,44.9138,8.8
733014221,C,Novaes,Membro,Masculino,Casa e estilo de vida,81.31,10,40.655,853.755,2024-02-09,05:10,Cartão de crédito,683.0,5.437156,46.42,5.6
781037985,A,Lopes,Membro,Feminino,Esportes e viagens,18.93,5,4.7325,99.3825,2024-02-05,05:44,Dinheiro,79.51,3.808402,3.7849,7.4
446899886,B,Moreira Alegre,Membro,Feminino,Eletrônicos,41.87,5,10.4675,219.8175,2024-01-04,09:56,Dinheiro,175.85,7.665842,16.8509,6.5
172933966,C,Jesus de Silva,Normal,Feminino,Casa e estilo de vida,41.35,6,12.405,260.505,2024-01-21,21:28,Ewallet,208.4,3.69727,9.6316,7.2
589335001,A,Moura,Membro,Feminino,Esportes e viagens,70.02,5,17.505,367.605,2024-01-26,19:17,Cartão de crédito,294.08,7.500546,27.5724,6.7
922430228,C,Almeida da Mata,Membro,Feminino,Esportes e viagens,17.61,6,5.283,110.943,2024-01-08,06:24,Cartão de crédito,88.75,7.016281,7.7841,4.4
908478434,C,Pereira da Mata,Normal,Masculino,Eletrônicos,35.33,4,7.066,148.386,2024-01-09,02:36,Ewallet,118.71,4.748781,7.0465,4.5
637048831,A,Silva,Normal,Feminino,Saúde e beleza,88.93,2,8.893,186.753,2024-01-11,02:28,Dinheiro,149.4,5.503489,10.2779,7.0
946294184,C,Teixeira do Norte,Normal,Masculino,Esportes e viagens,40.0,7,14.0,294.0,2024-01-07,11:04,Dinheiro,235.2,6.029111,17.7256,7.9
984197884,C,Cunha,Normal,Feminino,Casa e estilo de vida,17.25,6,5.175,108.675,2024-01-15,06:00,Dinheiro,86.94,4.977113,5.4089,5.7
252978703,A,Vieira de Santos,Membro,Feminino,Eletrônicos,29.48,9,13.266,278.586,2024-01-10,21:30,Ewallet,222.87,4.860916,13.5418,6.5
614364080,C,Souza,Normal,Feminino,Alimentos e bebidas,77.67,10,38.835,815.535,2024-01-02,23:07,Ewallet,652.43,3.398073,27.7125,7.3
490935082,B,Sales da Serra,Membro,Feminino,Eletrônicos,81.48,4,16.296,342.216,2024-01-23,07:37,Ewallet,273.77,6.361852,21.7713,7.1
3471978,A,Souza do Amparo,Normal,Feminino,Eletrônicos,85.06,9,38.277,803.817,2024-01-11,21:50,Dinheiro,643.05,3.147544,25.3005,5.0
370564368,C,Cunha da Mata,Membro,Feminino,Casa e estilo de vida,65.58,6,19.674,413.154,2024-01-31,07:52,Dinheiro,330.52,7.749281,32.0165,8.4
604519792,A,Souza da Mata,Normal,Masculino,Saúde e beleza,20.97,5,5.2425,110.0925,2024-02-09,16:06,Ewallet,88.07,4.614077,5.0798,5.6
445860618,B,Teixeira de Goiás,Membro,Masculino,Saúde e beleza,20.22,5,5.055,106.155,2024-02-06,21:45,Cartão de crédito,84.92,4.660003,4.9468,8.9
762726775,B,Gomes,Normal,Masculino,Casa e estilo de vida,27.79,5,6.9475,145.8975,2024-01-11,16:34,Dinheiro,116.72,3.411956,4.978,6.4
970863937,A,Nascimento de Duarte,Membro,Masculino,Alimentos e bebidas,85.18,7,29.813,626.073,2024-01-30,04:12,Cartão de crédito,500.86,7.516771,47.0605,6.1
179408013,B,Cardoso,Normal,Masculino,Alimentos e bebidas,26.76,8,10.704,224.784,2024-01-26,13:11,Ewallet,179.83,3.163074,7.1101,7.3
326706827,C,da Rosa,Membro,Feminino,Alimentos e bebidas,65.83,10,32.915,691.215,2024-02-03,02:10,Ewallet,552.97,6.312473,43.6328,6.3
554118858,C,Porto,Normal,Masculino,Eletrônicos,54.4,2,5.44,114.24,2024-01-15,21:53,Dinheiro,91.39,4.901204,5.5991,5.2
991695329,A,Ferreira dos Dourados,Normal,Feminino,Eletrônicos,90.49,4,18.098,380.058,2024-01-25,08:09,Cartão de crédito,304.05,7.654072,29.0899,5.3
19449197,B,Dias de Silva,Membro,Feminino,Eletrônicos,14.67,9,6.6015,138.6315,2024-01-05,04:51,Cartão de crédito,110.91,3.205163,4.4434,5.5
279664872,A,Mendes de Minas,Normal,Feminino,Eletrônicos,40.82,8,16.328,342.888,2024-01-16,15:34,Dinheiro,274.31,6.131375,21.0237,8.5
390895636,A,da Mota,Normal,Feminino,Eletrônicos,59.17,4,11.834,248.514,2024-01-18,11:14,Ewallet,198.81,4.206325,10.4533,4.3
809065140,A,da Luz,Membro,Feminino,Eletrônicos,47.09,6,14.127,296.667,2024-01-31,06:41,Cartão de crédito,237.33,5.422213,16.0859,5.1
807984757,B,da Rocha do Galho,Normal,Masculino,Casa e estilo de vida,32.72,3,4.908,103.068,2024-01-04,01:17,Dinheiro,82.45,7.921663,8.1647,5.4
294013709,B,da Rocha,Membro,Feminino,Alimentos e bebidas,52.84,7,18.494,388.374,2024-01-12,23:54,Cartão de crédito,310.7,6.683369,25.9565,6.2
90242065,A,Moraes de Moreira,Membro,Masculino,Eletrônicos,89.37,7,31.2795,656.8695,2024-01-05,22:30,Cartão de crédito,525.5,6.019993,39.5435,7.4
278920384,C,Mendes,Normal,Masculino,Eletrônicos,81.66,7,28.581,600.201,2024-01-27,19:41,Dinheiro,480.16,4.457096,26.7515,4.4
777975819,B,Melo,Normal,Masculino,Eletrônicos,91.69,8,36.676,770.196,2024-01-29,11:05,Ewallet,616.16,7.340079,56.533,6.0
917372299,C,da Cruz,Normal,Feminino,Saúde e beleza,45.23,2,4.523,94.983,2024-01-02,15:40,Dinheiro,75.99,6.378377,6.0584,5.7
188340560,C,Ferreira,Normal,Masculino,Casa e estilo de vida,73.08,3,10.962,230.202,2024-01-27,05:03,Cartão de crédito,184.16,6.811794,15.6809,6.4
847351666,B,Costela,Membro,Masculino,Casa e estilo de vida,39.76,8,15.904,333.984,2024-01-13,18:54,Cartão de crédito,267.19,5.533768,18.4819,8.3
342960822,C,Araújo,Membro,Feminino,Alimentos e bebidas,81.61,10,40.805,856.905,2024-02-08,02:27,Cartão de crédito,685.52,5.163914,44.2498,6.8
336201106,A,Dias das Flores,Membro,Feminino,Esportes e viagens,60.42,6,18.126,380.646,2024-01-17,21:42,Dinheiro,304.52,4.714616,17.946,5.4
983791938,C,Moraes das Flores,Membro,Feminino,Alimentos e bebidas,16.32,6,4.896,102.816,2024-01-22,03:54,Dinheiro,82.25,6.91385,7.1085,7.1
2399678,B,Nogueira do Campo,Membro,Feminino,Eletrônicos,92.21,4,18.442,387.282,2024-01-21,05:16,Dinheiro,309.83,6.071462,23.5137,7.6
889779209,A,Pereira das Flores,Membro,Feminino,Casa e estilo de vida,36.89,1,1.8445,38.7345,2024-01-31,23:01,Ewallet,30.99,6.172187,2.3908,8.2
563788265,C,Costa,Membro,Feminino,Casa e estilo de vida,26.2,4,5.24,110.04,2024-02-03,01:29,Ewallet,88.03,6.595144,7.2573,8.0
239857007,A,da Rocha de Pereira,Normal,Masculino,Esportes e viagens,82.37,3,12.3555,259.4655,2024-01-16,16:25,Ewallet,207.57,4.483431,11.633,8.9
623957609,B,Nunes,Normal,Masculino,Eletrônicos,53.75,10,26.875,564.375,2024-01-16,01:08,Ewallet,451.5,5.239027,29.5678,5.5
820871008,C,Souza,Membro,Masculino,Esportes e viagens,58.42,8,23.368,490.728,2024-01-26,15:48,Dinheiro,392.58,4.387567,21.531,4.4
692753592,A,Mendes de Santos,Normal,Feminino,Casa e estilo de vida,58.02,9,26.109,548.289,2024-02-07,02:40,Cartão de crédito,438.63,6.003586,32.917,6.8
715441589,B,Silveira,Membro,Feminino,Casa e estilo de vida,57.17,5,14.2925,300.1425,2024-02-01,00:08,Ewallet,240.11,4.663873,13.9983,6.1
846417038,C,Sales das Pedras,Membro,Masculino,Casa e estilo de vida,52.13,2,5.213,109.473,2024-01-04,21:48,Ewallet,87.58,7.190855,7.872,4.6
161298955,C,Vieira,Membro,Masculino,Alimentos e bebidas,59.1,7,20.685,434.385,2024-02-01,00:04,Dinheiro,347.51,7.929764,34.4457,7.5
105556945,B,Rezende do Oeste,Normal,Masculino,Alimentos e bebidas,88.54,7,30.989,650.769,2024-02-02,02:24,Dinheiro,520.62,4.815953,31.3407,6.4
383169950,C,Silva de Fogaça,Normal,Masculino,Casa e estilo de vida,35.44,5,8.86,186.06,2024-01-03,08:00,Dinheiro,148.85,7.370803,13.7141,4.1
545988931,B,Lima de Jesus,Normal,Feminino,Alimentos e bebidas,19.31,3,2.8965,60.8265,2024-01-02,15:13,Ewallet,48.66,6.847206,4.1649,7.0
566849403,B,Costela do Galho,Normal,Masculino,Saúde e beleza,65.34,4,13.068,274.428,2024-01-20,19:36,Cartão de crédito,219.54,5.548307,15.2261,5.7
205870106,B,Nogueira,Membro,Masculino,Eletrônicos,43.23,8,17.292,363.132,2024-01-24,19:00,Ewallet,290.51,4.994041,18.135,8.4
104723257,B,Oliveira,Membro,Masculino,Alimentos e bebidas,53.64,8,21.456,450.576,2024-01-24,00:48,Cartão de crédito,360.46,4.815307,21.6966,8.4
167993928,C,Farias das Pedras,Normal,Masculino,Alimentos e bebidas,98.52,1,4.926,103.446,2024-01-08,21:06,Cartão de crédito,82.76,7.62572,7.8885,6.9
750791191,B,Santos de da Mata,Normal,Feminino,Casa e estilo de vida,72.18,5,18.045,378.945,2024-02-06,10:08,Ewallet,303.16,5.755841,21.8115,5.3
247621790,A,Moura,Membro,Feminino,Saúde e beleza,55.91,1,2.7955,58.7055,2024-01-25,02:39,Ewallet,46.96,6.017893,3.5328,6.9
369092613,C,Dias,Membro,Masculino,Saúde e beleza,33.77,3,5.0655,106.3755,2024-01-10,17:13,Dinheiro,85.1,6.698111,7.1251,5.4
206794551,A,Moura,Normal,Feminino,Casa e estilo de vida,12.35,6,3.705,77.805,2024-01-05,19:11,Dinheiro,62.24,3.829584,2.9796,5.5
810026692,C,Barros das Flores,Membro,Feminino,Saúde e beleza,63.23,7,22.1305,464.7405,2024-01-15,23:42,Ewallet,371.79,3.34282,15.5354,8.4
398473183,B,Moura de Nascimento,Membro,Feminino,Esportes e viagens,63.7,6,19.11,401.31,2024-01-02,15:14,Ewallet,321.05,5.096941,20.4545,7.7
784520351,A,Ribeiro da Serra,Normal,Feminino,Esportes e viagens,95.15,8,38.06,799.26,2024-02-06,09:08,Dinheiro,639.41,3.254677,26.0133,8.6
569011300,C,Farias do Amparo,Normal,Feminino,Saúde e beleza,12.56,7,4.396,92.316,2024-01-19,08:53,Dinheiro,73.85,4.957101,4.5762,8.1
647868552,A,da Cruz de da Costa,Membro,Feminino,Casa e estilo de vida,66.48,8,26.592,558.432,2024-01-07,04:28,Ewallet,446.75,7.907821,44.1598,8.0
956907819,B,Nunes de Goiás,Normal,Masculino,Eletrônicos,98.47,10,49.235,1033.935,2024-02-01,01:01,Cartão de crédito,827.15,3.603698,37.2599,5.7
922573910,B,Mendes dos Dourados,Normal,Feminino,Esportes e viagens,81.65,5,20.4125,428.6625,2024-01-24,11:46,Dinheiro,342.93,7.467356,32.0098,7.6
598519618,B,Ramos da Prata,Membro,Feminino,Casa e estilo de vida,55.01,10,27.505,577.605,2024-01-23,06:26,Ewallet,462.08,3.859385,22.292,8.5
353064378,C,Pires,Normal,Masculino,Casa e estilo de vida,31.59,4,6.318,132.678,2024-01-18,14:30,Ewallet,106.14,3.762559,4.9921,4.2
712657557,A,da Rosa do Sul,Normal,Masculino,Esportes e viagens,82.49,7,28.8715,606.3015,2024-01-19,09:44,Dinheiro,485.04,4.705495,28.5295,7.2
802974957,A,Lima,Membro,Masculino,Saúde e beleza,66.77,5,16.6925,350.5425,2024-01-09,00:52,Ewallet,280.43,7.887615,27.6494,5.3
259583351,A,Mendes,Normal,Masculino,Casa e estilo de vida,66.19,8,26.476,555.996,2024-01-17,02:36,Dinheiro,444.8,6.432418,35.764,6.0
910815121,A,da Mota do Galho,Normal,Masculino,Alimentos e bebidas,29.96,6,8.988,188.748,2024-01-23,05:35,Ewallet,151.0,6.06744,11.4522,6.7
44492786,B,da Rocha,Membro,Feminino,Saúde e beleza,49.19,2,4.919,103.299,2024-01-03,17:46,Cartão de crédito,82.64,7.909609,8.1705,4.3
135713777,B,Costa,Normal,Masculino,Eletrônicos,83.69,4,16.738,351.498,2024-01-11,04:52,Dinheiro,281.2,6.216956,21.8525,8.0
433814863,B,Costela,Membro,Masculino,Saúde e beleza,78.0,10,39.0,819.0,2024-01-19,10:52,Dinheiro,655.2,3.638205,29.7969,4.8
510376705,C,Pinto de da Cruz,Normal,Masculino,Casa e estilo de vida,54.08,3,8.112,170.352,2024-01-01,05:09,Dinheiro,136.28,3.485736,5.938,5.8
635941343,C,Costela do Amparo,Membro,Feminino,Esportes e viagens,80.77,3,12.1155,254.4255,2024-01-09,18:12,Cartão de crédito,203.54,6.04118,15.3703,8.2
853172538,B,Nascimento,Normal,Feminino,Esportes e viagens,22.48,5,5.62,118.02,2024-02-04,10:30,Ewallet,94.42,5.234573,6.1778,4.3
162210497,A,Nascimento Paulista,Membro,Masculino,Casa e estilo de vida,70.8,9,31.86,669.06,2024-02-03,14:15,Ewallet,535.25,5.842414,39.0893,4.3
63058959,A,da Rocha dos Dourados,Membro,Feminino,Saúde e beleza,87.3,8,34.92,733.32,2024-01-06,09:45,Cartão de crédito,586.66,5.718698,41.9364,8.4
384399204,A,da Costa da Serra,Normal,Masculino,Alimentos e bebidas,90.61,8,36.244,761.124,2024-01-02,08:47,Cartão de crédito,608.9,3.044031,23.1689,8.7
442788673,C,Farias do Oeste,Membro,Masculino,Casa e estilo de vida,39.98,5,9.995,209.895,2024-01-28,13:15,Ewallet,167.92,4.113625,8.6343,7.7
606126505,C,Cardoso da Prata,Normal,Feminino,Alimentos e bebidas,20.52,6,6.156,129.276,2024-01-06,14:27,Cartão de crédito,103.42,7.725543,9.9873,4.3
